station,valid,metar
RPLL,2025-01-08 21:00,RPLL 082100Z VRB02KT 9999 FEW025 SCT150 26/22 Q1012 NOSIG RMK A2988
RPLL,2025-01-08 22:00,RPLL 082200Z 09006KT 070V130 9999 FEW025 BKN130 27/22 Q1012 NOSIG RMK A2988
RPLL,2025-01-08 23:00,RPLL 082300Z 08005KT 050V110 9999 FEW025 BKN100 26/22 Q1013 NOSIG RMK A2991
RPLL,2025-01-09 00:00,RPLL 090000Z 07005KT 030V100 9999 FEW025 BKN100 27/22 Q1014 NOSIG RMK A2994
RPLL,2025-01-09 01:00,RPLL 090100Z 09007KT 050V150 9999 FEW025 BKN100 29/21 Q1014 NOSIG RMK A2994
RPLL,2025-01-09 02:00,RPLL 090200Z 12007KT 080V170 9999 FEW025 BKN100 29/22 Q1014 NOSIG RMK A2994
RPLL,2025-01-09 03:00,RPLL 090300Z 10009KT 070V140 9999 FEW025 BKN100 29/22 Q1014 NOSIG RMK A2994
RPLL,2025-01-09 04:00,RPLL 090400Z 11012KT 070V150 9999 FEW025 BKN100 29/22 Q1013 NOSIG RMK A2991
RPLL,2025-01-09 05:00,COR RPLL 090500Z 12009KT 080V190 9999 FEW025 BKN100 31/22 Q1012 NOSIG RMK A2988
RPLL,2025-01-09 06:00,RPLL 090600Z 11008KT 070V160 9999 FEW025 SCT100 31/21 Q1011 NOSIG RMK A2985
RPLL,2025-01-09 07:00,COR RPLL 090700Z 11008KT 080V150 9999 FEW025 BKN100 30/22 Q1011 NOSIG RMK A2985
RPLL,2025-01-09 08:00,RPLL 090800Z 11008KT 070V150 9999 FEW025 BKN100 29/22 Q1011 NOSIG RMK A2985
RPLL,2025-01-09 09:00,RPLL 090900Z 11006KT 080V150 9999 FEW025 BKN100 29/22 Q1012 NOSIG RMK A2988
RPLL,2025-01-09 10:00,RPLL 091000Z 11006KT 070V150 9999 FEW025 BKN100 28/22 Q1012 NOSIG RMK A2988
RPLL,2025-01-09 11:00,RPLL 091100Z 11006KT 060V140 9999 FEW025 BKN100 27/22 Q1013 NOSIG RMK A2991
